trip_distance,fare_amount,winter,spring,summer,fall,pickup_datetime,dropoff_datetime,Holiday Proximity,ride_duration,Early morning,Morning,Afternoon,Night
12.8,39.5,0,0,1,0,2019-08-20 23:14:22,2019-08-20 23:52:09,0,0 days 00:37:47.000000000,0,0,0,1
18.13,52.0,0,0,0,1,2019-11-17 14:37:47,2019-11-17 15:26:57,0,0 days 00:49:10.000000000,0,0,1,0
1.3,6.5,0,0,1,0,2019-08-03 08:54:21,2019-08-03 08:59:46,0,0 days 00:05:25.000000000,0,1,0,0
1.2,6.5,0,0,0,1,2019-11-20 07:45:48,2019-11-20 07:51:41,0,0 days 00:05:53.000000000,0,1,0,0
10.07,28.0,0,0,1,0,2019-07-30 01:14:08,2019-07-30 01:28:25,0,0 days 00:14:17.000000000,1,0,0,0
2.38,12.0,0,0,0,1,2019-10-31 19:46:36,2019-10-31 20:03:18,0,0 days 00:16:42.000000000,0,0,0,0
2.24,13.0,0,0,1,0,2019-07-02 08:52:44,2019-07-02 09:11:10,0,0 days 00:18:26.000000000,0,1,0,0
2.7,11.0,0,0,1,0,2019-07-10 02:14:31,2019-07-10 02:25:06,0,0 days 00:10:35.000000000,1,0,0,0
1.12,6.0,0,1,0,0,2019-03-27 18:05:05,2019-03-27 18:10:27,1,0 days 00:05:22.000000000,0,0,0,0
2.5,12.5,0,0,0,1,2019-11-18 20:03:32,2019-11-18 20:21:13,0,0 days 00:17:41.000000000,0,0,0,0
3.3,16.5,0,0,0,1,2019-10-28 17:24:38,2019-10-28 17:47:53,0,0 days 00:23:15.000000000,0,0,1,0
1.04,6.5,0,0,0,1,2019-09-09 21:40:28,2019-09-09 21:46:56,0,0 days 00:06:28.000000000,0,0,0,0
1.1,9.0,0,1,0,0,2019-04-16 11:37:24,2019-04-16 11:50:04,0,0 days 00:12:40.000000000,0,1,0,0
2.45,9.5,0,1,0,0,2019-04-14 01:04:15,2019-04-14 01:13:21,0,0 days 00:09:06.000000000,1,0,0,0
1.82,8.0,1,0,0,0,2019-12-08 14:52:03,2019-12-08 15:00:33,0,0 days 00:08:30.000000000,0,0,1,0
1.0,6.0,0,0,0,1,2019-10-17 14:46:36,2019-10-17 14:53:05,0,0 days 00:06:29.000000000,0,0,1,0
1.7,8.0,0,1,0,0,2019-03-11 11:03:21,2019-03-11 11:12:20,0,0 days 00:08:59.000000000,0,1,0,0
